"Symbol","Name","Sector"
"APEI","American Public Education Inc","Consumer Discretionary","Equity"
"APG","API Group Corp","Materials","Equity"
"APLS","Apellis Pharmaceuticals Inc","Health Care","Equity"
"APLT","Applied Therapeutics Inc","Health Care","Equity"
"APOG","Apogee Enterprises Inc","Industrials","Equity"
"APPF","Appfolio Inc Class A","Information Technology","Equity"
"APPN","Appian Corp Class A","Information Technology","Equity"
"APPS","Digital Turbine Inc","Information Technology","Equity"
"APRE","Aprea Therapeutics Inc","Health Care","Equity"
"APT","Alpha Pro Tech Ltd","Industrials","Equity"
"APTS","Preferred Apartment Communities Re","Real Estate","Equity"
"APTX","Aptinyx Inc","Health Care","Equity"
"APYX","Apyx Medical Corp","Health Care","Equity"
"AQST","Aqestive Therapeutics Inc","Health Care","Equity"
"AQUA","Evoqua Water Technologies Corp","Industrials","Equity"
"ARA","American Renal Associates Holdings","Health Care","Equity"
"AR","Antero Resources Corp","Energy","Equity"
"ARAV","Aravive Inc","Health Care","Equity"
"ARAY","Accuray Inc","Health Care","Equity"
"ARCB","Arcbest Corp","Industrials","Equity"
"ARCH","Arch Resources Inc Class A","Energy","Equity"
"ARCT","Arcturus Therapeutics Holdings Inc","Health Care","Equity"
"ARDX","Ardelyx Inc","Health Care","Equity"
"ARGO","Argo Group International Holdings","Financials","Equity"
"ARI","Apolo Commercial Real Estate Fina","Financials","Equity"
"ARL","American Realty Investors Inc","Real Estate","Equity"
"ARLO","Arlo Technologies Inc","Information Technology","Equity"
"ARNA","Arena Pharaceuticals Inc","Health Care","Equity"
"ARNC","Arconic Corp","Materials","Equity"
"AROC","Archrock Inc","Energy","Equity"
"AROW","Arrow Financial Corp","Financials","Equity"
"ARQT","Arcutis Biotherapeutics Inc","Health Care","Equity"
"ARR","Armour Residential Reit Inc","Financials","Equity"
"ARTNA","Artesian Resources Corp Class A","Utilities","Equity"
"ARVN","Arvinas Inc","Health Care","Equity"
"ARWR","Arrowhead Pharmaceuticals Inc","Health Care","Equity"
"ASC","Ardmore Shipping Corp","Energy","Equity"
"ASGN","ASGN Inc","Industrials","Equity"
"ASIX","Advansix Inc","Materials","Equity"
"ASMB","Assembly Biosciences Inc","Health Care","Equity"
"ASPN","Aspen Aerogels Inc","Energy","Equity"
"ASPS","Altisource Portfolio Solutions SA","Real Estate","Equity"
"ASPU","Aspen Group Inc","Consumer Discretionary","Equity"
"ASTE","Astec Industries Inc","Industrials","Equity"
"ASUR","Asure Software Inc","Information Technology","Equity"
"AT","Atlantic Power Corp","Utilities","Equity"
"ATEC","Alphatec Holdings Inc","Health Care","Equity"
"ATEN","A10 Networks Inc","Information Technology","Equity"
"ATEX","Anterix Inc","Communication","Equity"
"ATGE","Adtalem Global Education Inc","Consumer Discretionary","Equity"
"ATHX","Athersys Inc","Health Care","Equity"
"ATI","Allegheny Technologies Inc","Materials","Equity"
"ATKR","Atkore International Group Inc","Industrials","Equity"
"ATLC","Atlanticus Holdings Corp","Financials","Equity"
"ATLO","Ames National Corp","Financials","Equity"
"ATNI","ATN International Inc","Communication","Equity"
"ATNX","Athenex Inc","Health Care","Equity"
"ATOM","Atomera Inc","Information Technology","Equity"
"ATRA","Atara Biotherapeutics Inc","Health Care","Equity"
"ATRC","Atricure Inc","Health Care","Equity"
"ATRI","Atrion Corp","Health Care","Equity"
"ATRO","Astronics Corp","Industrials","Equity"
"ATRS","Antares Pharma Inc","Health Care","Equity"
"ATSG","Air Transport Services Group Inc","Industrials","Equity"
"ATXI","Avenue Therapeutics Inc","Health Care","Equity"
"AUB","Atlantic Union Bankshares Corp","Financials","Equity"
"AUBN","Auburn National Bancorporation Inc","Financials","Equity"
"AVA","Avista Corp","Utilities","Equity"
"AVAV","Aerovironment Inc","Industrials","Equity"
"AVCO","Avalon Globocare Corp","Health Care","Equity"
"AVD","Amer Vanguard Corp","Materials","Equity"
"AVEO","Aveo Pharmaceuticals Inc","Health Care","Equity"
"AVID","Avid Tehcology Inc","Information Technology","Equity"
"AVNS","Avanos Medical Inc","Health Care","Equity"
"AVRO","Avrobio Inc","Health Care","Equity"
"AVXL","Anavex Life Sciences Corp","Health Care","Equity"
"AVYA","Avaya Holdings Corp","Information Technology","Equity"
"AWH","Aspira Womens Health Inc","Health Care","Equity"
"AWR","American States Water","Utilities","Equity"
"AX","Axos Financial Inc","Financials","Equity"
"AXDX","Accelerate Diagnostics Inc","Health Care","Equity"
"AXGN","Axogen Inc","Health Care","Equity"
"AXLA","Axcella Health Inc","Health Care","Equity"
"AXL","American Axle and Manufacturing Ho","Consumer Discretionary","Equity"
"AXNX","Axonics MOdulation Technologies Inc","Health Care","Equity"
"AXSM","Axsome Therapeutics Inc","Health Care","Equity"
"AXTI","AXT Inc","Information Technology","Equity"
"AYTU","Aytu Bioscience Inc","Health Care","Equity"
"AZZ","Azz Inc","Industrials","Equity"
"BANC","Banc of California Inc","Financials","Equity"
"BAND","Bandwidth Inc Class A","Communication","Equity"
"BANF","Bancfirst Corp","Financials","Equity"
"BANR","Banner Corp","Financials","Equity"
"BATRA","Liberty Media Liberty Braves Corp","Communication","Equity"
"BATRK","Liberty Media Liberty Braves Corp","Communication","Equity"
"B","Barnes Group Inc","Industrials","Equity"
"BBBY","Bed Bath and Beyond Inc","Consumer Discretionary","Equity"
"BBCP","Concrete Pumping Holdings Inc","Industrials","Equity"
"BBIO","Bridgebio Pharma Inc","Health Care","Equity"
"BBSI","Barrett Business Services Inc","Industrials","Equity"
"BBX","BBX Capital Corp Class A","Consumer Discretionary","Equity"
"BCBP","BCB Bancorp Inc","Financials","Equity"
"BCC","Boise Cascade","Materials","Equity"
"BCEI","Bonanza Creek Energy Inc","Energy","Equity"
"BCEL","Atreca Inc Class A","Health Care","Equity"
"BCLI","Brainstorm Cell Therapeutics Inc","Health Care","Equity"
"BCML","Baycom Corp","Financials","Equity"
